# floor facets
# indeces & walltype
#   il     iu     jl     ju      t
     8      8      9     24  -1
    25     25      9     24  -1
     9     24     25     25  -1
     9     24      8      8  -1
     8      8     41     56  -1
    25     25     41     56  -1
     9     24     57     57  -1
     9     24     40     40  -1
     1      7      1     64  -1
     8      8      1      8  -1
     9     24      1      7  -1
    25     25      1      8  -1
    26     64      1     64  -1
     8      8     25     40  -1
     9     24     26     39  -1
    25     25     25     40  -1
     8      8     57     64  -1
     9     24     58     64  -1
    25     25     57     64  -1
