# floor facets
# indeces & walltype
#   il     iu     jl     ju      t
     8      8      9     24  -1
    25     25      9     24  -1
     9     24     25     25  -1
     9     24      8      8  -1
     8      8     41     56  -1
    25     25     41     56  -1
     9     24     57     57  -1
     9     24     40     40  -1
     8      8     73     88  -1
    25     25     73     88  -1
     9     24     89     89  -1
     9     24     72     72  -1
     8      8    105    120  -1
    25     25    105    120  -1
     9     24    121    121  -1
     9     24    104    104  -1
    40     40      1      8  -1
    57     57      1      8  -1
    41     56      9      9  -1
    40     40     25     40  -1
    57     57     25     40  -1
    41     56     41     41  -1
    41     56     24     24  -1
    40     40     57     72  -1
    57     57     57     72  -1
    41     56     73     73  -1
    41     56     56     56  -1
    40     40     89    104  -1
    57     57     89    104  -1
    41     56    105    105  -1
    41     56     88     88  -1
    40     40    121    128  -1
    57     57    121    128  -1
    41     56    120    120  -1
    72     72      9     24  -1
    89     89      9     24  -1
    73     88     25     25  -1
    73     88      8      8  -1
    72     72     41     56  -1
    89     89     41     56  -1
    73     88     57     57  -1
    73     88     40     40  -1
    72     72     73     88  -1
    89     89     73     88  -1
    73     88     89     89  -1
    73     88     72     72  -1
    72     72    105    120  -1
    89     89    105    120  -1
    73     88    121    121  -1
    73     88    104    104  -1
   104    104      1      8  -1
   121    121      1      8  -1
   105    120      9      9  -1
   104    104     25     40  -1
   121    121     25     40  -1
   105    120     41     41  -1
   105    120     24     24  -1
   104    104     57     72  -1
   121    121     57     72  -1
   105    120     73     73  -1
   105    120     56     56  -1
   104    104     89    104  -1
   121    121     89    104  -1
   105    120    105    105  -1
   105    120     88     88  -1
   104    104    121    128  -1
   121    121    121    128  -1
   105    120    120    120  -1
     1      7      1    128  -1
     8      8      1      8  -1
     9     24      1      7  -1
    25     25      1      8  -1
    26     39      1    128  -1
    40     40      9     24  -1
    41     56     10     23  -1
    57     57      9     24  -1
    58     71      1    128  -1
    72     72      1      8  -1
    73     88      1      7  -1
    89     89      1      8  -1
    90    103      1    128  -1
   104    104      9     24  -1
   105    120     10     23  -1
   121    121      9     24  -1
   122    128      1    128  -1
     8      8     25     40  -1
     9     24     26     39  -1
    25     25     25     40  -1
    40     40     41     56  -1
    41     56     42     55  -1
    57     57     41     56  -1
    72     72     25     40  -1
    73     88     26     39  -1
    89     89     25     40  -1
   104    104     41     56  -1
   105    120     42     55  -1
   121    121     41     56  -1
     8      8     57     72  -1
     9     24     58     71  -1
    25     25     57     72  -1
    40     40     73     88  -1
    41     56     74     87  -1
    57     57     73     88  -1
    72     72     57     72  -1
    73     88     58     71  -1
    89     89     57     72  -1
   104    104     73     88  -1
   105    120     74     87  -1
   121    121     73     88  -1
     8      8     89    104  -1
     9     24     90    103  -1
    25     25     89    104  -1
    40     40    105    128  -1
    41     56    106    128  -1
    57     57    105    128  -1
    72     72     89    104  -1
    73     88     90    103  -1
    89     89     89    104  -1
   104    104    105    128  -1
   105    120    106    128  -1
   121    121    105    128  -1
     8      8    121    128  -1
     9     24    122    128  -1
    25     25    121    128  -1
    72     72    121    128  -1
    73     88    122    128  -1
    89     89    121    128  -1
